Pedurma-ID,Other-ID,Title,Image-group,Range,First-image,Last-image
AT2501,Q4618,dpa' bo gcig pa'i gtor ma'i cho ga,I1PD95887,698-701,I1PD958870755.jpg,I1PD958870758.jpg
AT2502,Q4619,dpal 'khor lo sdom pa'i rab tu gnas pa'i cho ga,I1PD95887,702-711,I1PD958870759.jpg,I1PD958870768.jpg
AT2503,Q4620,dpal 'khor lo sdom pa'i sbyin bsreg gi cho ga,I1PD95887,712-730,I1PD958870769.jpg,I1PD958870787.jpg
AT2507,Q4624,dpal 'khor lo bde mchog gi rim pa lnga pa,I1PD95887,753-760,I1PD958870810.jpg,I1PD958870817.jpg
AT2509,Q4626,rdo rje theg pa'i rtsa ba dang yan lag gi ltung ba'i bshags pa,I1PD95887,790-793,I1PD958870847.jpg,I1PD958870850.jpg
AT2510,Q4627,dzA lan d+ha ra pas bstod pa,I1PD95887,794-806,I1PD958870851.jpg,I1PD958870863.jpg
AT2511,Q4628,dpal 'khor lo bde mchog gi rnam par sprul pa dang yul nyi shu rta bzhi'i rgyu mtshan,I1PD95887,807-819,I1PD958870864.jpg,I1PD958870876.jpg
AT2512,Q4629,spra khrid lung bstan te lo'i gsungs,I1PD95887,820-830,I1PD958870877.jpg,I1PD958870887.jpg
AT2513,Q4631,gtor ma tshogs mchod kyi dbu lags,I1PD95887,831-841,I1PD958870888.jpg,I1PD958870898.jpg
AT2514,Q4633,chos drug rdo rje'i tshig rkang zhes bya ba,I1PD95887,842-845,I1PD958870899.jpg,I1PD958870902.jpg
AT2515,Q4640,rang shar phyag rgya chen po'i rdo rje'i tshig rkang,I1PD95887,846-849,I1PD958870903.jpg,I1PD958870906.jpg
AT2516,Q4636,chos spyod mi dge rang grol zhes bya ba,I1PD95887,850-854,I1PD958870907.jpg,I1PD958870911.jpg
AT2517,Q4637,dpal 'khor lo sdom pa myur du sgrub pa zhes bya ba'i thabs,I1PD95887,855-858,I1PD958870912.jpg,I1PD958870915.jpg
AT2518,Q4638,dpal 'khor lo sdom pa'i dkyil 'khor gyi cho ga zhes bya ba,I1PD95887,859-863,I1PD958870916.jpg,I1PD958870920.jpg
AT2519,Q4639,dpal 'chi med ye shes chen po zhes bya ba,I1PD95887,864-867,I1PD958870921.jpg,I1PD958870924.jpg
AT2520,Q4640,rang shar phyag rgya chen po'i rdo rje'i tshig rkang,I1PD95887,868-870,I1PD958870925.jpg,I1PD958870927.jpg
AT2521,Q4641,rang grol phyag rgya chen po,I1PD95887,871-873,I1PD958870928.jpg,I1PD958870930.jpg
AT2522,Q4642,lam khyer gyi chos gsum zhes bya ba,I1PD95887,874-877,I1PD958870931.jpg,I1PD958870934.jpg
AT2523,Q4643,sgyu ma lam gyi rim pa zhes bya ba,I1PD95887,878-899,I1PD958870935.jpg,I1PD958870956.jpg
AT2524,Q4644,sgyu ma lam gyi rim pa'i 'grel pa zhes bya ba,I1PD95887,900-947,I1PD958870957.jpg,I1PD958871004.jpg
AT2530,Q4650,'phags pa smon lam gyi rgyal po zhes bya ba,I1PD95887,959-963,I1PD958871016.jpg,I1PD958871020.jpg
AT2532,Q4652,rnam par grol ba'i snye ma zhes bya ba'i glu,I1PD95887,1026-1037,I1PD958871083.jpg,I1PD958871094.jpg
AT2533,Q4653,de nyid bdun gyi 'grel pa,I1PD95887,1038-1046,I1PD958871095.jpg,I1PD958871103.jpg
AT2535,Q4655,dpal 'khor lo sdom pa bcu gsum gyi bdag nyid can la mchod pa'i cho ga,I1PD95887,1060-1074,I1PD958871117.jpg,I1PD958871131.jpg
AT2537,Q4657,dpal 'khor lo sdom pa'i dbang gi bya ba,I1PD95887,1078-1082,I1PD958871135.jpg,I1PD958871139.jpg
AT2538,Q4658,bcom ldan 'das bde mchog 'khor lo'i bstod pa,I1PD95887,1083-1086,I1PD958871140.jpg,I1PD958871143.jpg
AT2539,Q4659,mngon par rtogs pa'i snying po,I1PD95887,1187-1194,I1PD958871244.jpg,I1PD958871251.jpg
AT2540,Q4660,mngon par rtogs pa'i 'grel pa,I1PD95887,1195-1113,I1PD958871252.jpg,I1PD958871170.jpg
AT2541,Q4661,dpal 'khor lo bde mchog gi mngon par rtogs pa'i 'grel pa,I1PD95887,1114-1152,I1PD958871171.jpg,I1PD958871209.jpg
AT2542,Q4662,bde mchog 'khor lo'i Ti ka,I1PD95887,1153-1158,I1PD958871210.jpg,I1PD958871215.jpg
AT2543,Q4663,bde gshegs 'khor lo'i sgrub pa'i thabs zhes bya ba,I1PD95887,1159-1160,I1PD958871216.jpg,I1PD958871217.jpg
AT2544,Q4664,'chi bdag gzhom pa zhes bya ba'i sgrub thabs,I1PD95887,1161-1166,I1PD958871218.jpg,I1PD958871223.jpg
