Pedurma-ID,Other-ID,Title,Image-group,Range,First-image,Last-image
AT2672,Q4798,dpal ldan gshin rje gshed nag po'i 'khrul 'khor bri ba'i cho ga rgyas pa'i rtog pa,I1PD95891,963-971,I1PD958910994.jpg,I1PD958911002.jpg
AT2673,Q4799,'jam dpal gyi rtog pa las dam rdzas bdud rtsi sman du sgrubs te bsten pa'i rtog pa,I1PD95891,972-974,I1PD958911003.jpg,I1PD958911005.jpg
AT2674,Q4800,dpal gshin rje gshed nag po'i 'khrul 'khor bskor ba'i cho ga las/ las kyi rgyud dang grogs bstan pa'i rtog pa,I1PD95891,975-979,I1PD958911006.jpg,I1PD958911010.jpg
AT2675,Q4801,dpal rdo rje 'jigs byed kyi rgyud kyi 'grel pa man ngag dang ldan pa'i rgyan,I1PD95891,980-1013,I1PD958911011.jpg,I1PD958911044.jpg
AT2676,Q4802,dpal rdo rje 'jigs byed kyi sgrub thabs pad ma rgyas pa,I1PD95891,1014-1021,I1PD958911045.jpg,I1PD958911052.jpg
AT2677,Q4803,dpal rdo rje 'jigs byed kyi bsgrub pa'i thabs zhes bya ba,I1PD95891,1022-1035,I1PD958911053.jpg,I1PD958911066.jpg
AT2678,Q4806,'chi ba blu ba'i bsdus don,I1PD95891,1036-1040,I1PD958911067.jpg,I1PD958911071.jpg
AT2679,Q4806,'chi ba blu ba'i bsdus don,I1PD95891,1041-1048,I1PD958911072.jpg,I1PD958911079.jpg
AT2681,Q4813,chos thams cad 'phags pa 'jam dpal gshin rje por bsgrub pa'i thabs,I1PD95891,1102-1110,I1PD958911133.jpg,I1PD958911141.jpg
AT2682,Q4814,gshin rje gshed dmar lha lnga'i mngon par rtogs pa dngos grub kyi snye ma zhes bya ba,I1PD95891,1111-1126,I1PD958911142.jpg,I1PD958911157.jpg
AT2683,Q4815,gshin rje gshed dmar po'i 'khrul 'khor gyi de nyid bshad pa zhes bya ba'i bsgrub thabs,I1PD95891,1127-1135,I1PD958911158.jpg,I1PD958911166.jpg
AT2685,Q4817,gshin rje gshed mthar byed kyi 'khrul 'khor gyi cho ga,I1PD95891,1141-1146,I1PD958911172.jpg,I1PD958911177.jpg
AT2686,Q4828,sha za gnod sbyin mkha' 'gro kun nas 'khyil pa'i rtogs pa las byung ba'i gwa thabs zhes bya ba,I1PD95891,1147-1149,I1PD958911178.jpg,I1PD958911180.jpg
AT2687,Q4829,gnod sbyin ma kun nas 'khyil pa'i gwa thabs kyi don bsdus pa'i 'grel pa,I1PD95891,1150-1156,I1PD958911181.jpg,I1PD958911187.jpg
AT2688,Q4830,gzhan gyi mi thub pa dang ri rab mchog ma rin po che bzang po'i bsgrub thabs,I1PD95891,1157-1161,I1PD958911188.jpg,I1PD958911192.jpg
AT2690,Q4833,'jam dpal ngag gi rgyal po'i sgrub thabs,I1PD95892,8-13,I1PD958920077.jpg,I1PD958920082.jpg
AT2691,Q4835,'jam dpal gyi mtshan yang dag par brjod pa'i spyan dbye ba'i cho ga zhes bya ba,I1PD95892,14-39,I1PD958920083.jpg,I1PD958920108.jpg
AT2692,Q4836,'jam pa'i dbyangs dpa' bo gcig grub pa'i bstod pa gser gyi phreng ba zhes bya ba,I1PD95892,40-45,I1PD958920109.jpg,I1PD958920114.jpg
AT2694,Q4839,'phags pa yi ge drug pa'i sgrub thabs,I1PD95892,50-52,I1PD958920119.jpg,I1PD958920121.jpg
AT2695,Q4842,'phags pa don yod zhags pa'i sgrub thabs,I1PD95892,53-59,I1PD958920122.jpg,I1PD958920128.jpg
AT2696,Q4842,'phags pa don yod zhags pa'i sgrub thabs,I1PD95892,60-62,I1PD958920129.jpg,I1PD958920131.jpg
AT2697,Q4842,'phags pa don yod zhags pa'i sgrub thabs,I1PD95892,63-66,I1PD958920132.jpg,I1PD958920135.jpg
AT2700,Q4845,sems dpa'i phyag rgya zhes bya ba,I1PD95892,79-92,I1PD958920148.jpg,I1PD958920161.jpg
AT2701,Q4846,yi ge bzhi pa'i man ngag,I1PD95892,93-95,I1PD958920162.jpg,I1PD958920164.jpg
AT2702,Q4847,phyag na rdo rje gtum po chen po khros pa zhes bya ba'i sgrub thabs,I1PD95892,96-101,I1PD958920165.jpg,I1PD958920170.jpg
AT2703,Q4848,gnod sbyin gyi sde dpon chen po lag na rdo rje gos sngon can gyi sgrub thabs zhes bya ba,I1PD95892,102-112,I1PD958920171.jpg,I1PD958920181.jpg
AT2704,Q4849,rdo rje 'dzin pa phyag na rdo rje'i las bsgrub pa'i thabs zhes bya ba,I1PD95892,113-118,I1PD958920182.jpg,I1PD958920187.jpg
AT2705,Q4850,rdo rje gtum po'i sgo nas phyir bzlog pa'i 'khor lo zhes bya ba,I1PD95892,119-123,I1PD958920188.jpg,I1PD958920192.jpg
AT2706,Q4851,U Ni sha sngags kyi man ngag gi sgrub thabs,I1PD95892,124-133,I1PD958920193.jpg,I1PD958920202.jpg
AT2709,Q4854,sgrol ma U gra'i mchod pa'i cho ga zhes bya ba,I1PD95892,158-160,I1PD958920227.jpg,I1PD958920229.jpg
AT2710,Q4855,sgrol ma dmar mos 'gro ba dbang du bsdu ba'i 'khor lo'i cho ga zhes bya ba,I1PD95892,161-163,I1PD958920230.jpg,I1PD958920232.jpg
AT2711,Q4856,sngags kyi don 'jug pa,I1PD95892,164-168,I1PD958920233.jpg,I1PD958920237.jpg
AT2712,Q4857,dbang gi man ngag,I1PD95892,169-172,I1PD958920238.jpg,I1PD958920241.jpg
AT2713,Q4858,dam tshig sbas pa,I1PD95892,173-176,I1PD958920242.jpg,I1PD958920245.jpg
AT2714,Q4859,gzhal yas khang sbyin pa,I1PD95892,177-180,I1PD958920246.jpg,I1PD958920249.jpg
AT2715,Q4860,chu gtor gyi cho ga,I1PD95892,181-183,I1PD958920250.jpg,I1PD958920252.jpg
AT2717,Q4862,lha mchod pa'i rim pa,I1PD95892,188-191,I1PD958920257.jpg,I1PD958920260.jpg
AT2718,Q4863,tshe bsgrub pa'i thabs,I1PD95892,192-194,I1PD958920261.jpg,I1PD958920263.jpg
AT2719,Q4864,'chi ba slu ba,I1PD95892,195-197,I1PD958920264.jpg,I1PD958920266.jpg
AT2720,Q4865,'chi ka ma'i bstan chos,I1PD95892,198-201,I1PD958920267.jpg,I1PD958920270.jpg
AT2723,Q4868,tsha tsh+wa'i cho ga,I1PD95892,210-213,I1PD958920279.jpg,I1PD958920282.jpg
AT2724,Q4869,'phags ma lha mo sgrol ma la bstod pa mu tig 'phreng ba zhes bya ba,I1PD95892,214-219,I1PD958920283.jpg,I1PD958920288.jpg
AT2725,Q4870,'phags ma lha mo sgrol ma'i bstod pa,I1PD95892,220-222,I1PD958920289.jpg,I1PD958920291.jpg
AT2726,Q4871,'phags ma sgrol ma la bstod pa smon lam grub pa zhes bya ba,I1PD95892,223-225,I1PD958920292.jpg,I1PD958920294.jpg
AT2727,Q4872,bcom ldan 'das 'phags ma sgrol ma la bstod pa zhes bya ba,I1PD95892,226-229,I1PD958920295.jpg,I1PD958920298.jpg
AT2728,Q4873,'phags ma sgrol ma 'jigs pa chen po brgyad las sgrol ba'i bstod pa,I1PD95892,230-232,I1PD958920299.jpg,I1PD958920301.jpg
AT2731,Q4876,dam tshig sgrol ma la bstod pa,I1PD95892,240-244,I1PD958920309.jpg,I1PD958920313.jpg
AT2732,Q4877,bde ba'i 'byung gnas dpal ldan rje btsun ma la bstod pa,I1PD95892,245-252,I1PD958920314.jpg,I1PD958920321.jpg
AT2733,Q4878,thams cad grub pa dpal 'phel lha mo la slob dpon klu sgrub kyis bstod pa,I1PD95892,253-255,I1PD958920322.jpg,I1PD958920324.jpg
AT2734,Q4879,rje btsun ma 'phags ma sgrol ma la kha che nyi ma sbas pas bstod pa,I1PD95892,256-259,I1PD958920325.jpg,I1PD958920328.jpg
AT2735,Q4880,'phags ma sgrol ma'i bkra shis pa,I1PD95892,260-263,I1PD958920329.jpg,I1PD958920332.jpg
AT2736,Q4881,seng ldeng nags kyi sgrol ma la bstod pa,I1PD95892,264-267,I1PD958920333.jpg,I1PD958920336.jpg
AT2737,Q4882,'phags ma sgrol ma'i mtshan nges pa zhes bya ba,I1PD95892,268-271,I1PD958920337.jpg,I1PD958920340.jpg
AT2738,Q4886,tshe dpag tu med pa zhes bya ba'i sgrub thabs,I1PD95892,272-280,I1PD958920341.jpg,I1PD958920349.jpg
AT2741,Q4892,khro bo'i rgyal po mi g.yo ba'i bsgrub pa'i thabs,I1PD95892,332-340,I1PD958920401.jpg,I1PD958920409.jpg
AT2742,Q4893,mi g.yo ba'i 'khor lo,I1PD95892,341-343,I1PD958920410.jpg,I1PD958920412.jpg
AT2743,,gtum po'i sgrub thabs,I1PD95892,344-345,I1PD958920413.jpg,I1PD958920414.jpg
AT2744,Q4895,khro bo mi g.yo mgon gyi sgrub thabs,I1PD95892,346-349,I1PD958920415.jpg,I1PD958920418.jpg
AT2745,Q4896,gtum po khro bo chen po'i sgrub pa don dam pa zhes bya ba,I1PD95892,350-354,I1PD958920419.jpg,I1PD958920423.jpg
AT2749,Q4901,zhal bzhi pa'i dam tshig dngos grub bsgrub pa'i thabs zhes bya ba,I1PD95892,374-376,I1PD958920443.jpg,I1PD958920445.jpg
AT2751,Q4902,nag po chen po'i sbyin sreg,I1PD95892,385-387,I1PD958920454.jpg,I1PD958920456.jpg
AT2752,Q4904,nag po chen po'i gtor ma'i cho ga,I1PD95892,388-390,I1PD958920457.jpg,I1PD958920459.jpg
AT2753,Q4941,nag po chen po la bstod pa,I1PD95892,391-392,I1PD958920460.jpg,I1PD958920461.jpg
AT2754,Q4906,nag po chen po'i bstod pa'i phreng ba zhes bya ba,I1PD95892,393-395,I1PD958920462.jpg,I1PD958920464.jpg
AT2755,Q4941,nag po chen po la bstod pa,I1PD95892,396-397,I1PD958920465.jpg,I1PD958920466.jpg
AT2756,Q4941,nag po chen po la bstod pa,I1PD95892,398-399,I1PD958920467.jpg,I1PD958920468.jpg
AT2757,Q4941,nag po chen po la bstod pa,I1PD95892,400-403,I1PD958920469.jpg,I1PD958920472.jpg
AT2759,Q4941,nag po chen po la bstod pa,I1PD95892,406-408,I1PD958920475.jpg,I1PD958920477.jpg
AT2760,Q4912,lha mo nag mo'i bstod pa,I1PD95892,409-412,I1PD958920478.jpg,I1PD958920481.jpg
AT2761,Q4916,dpal lha mo nag mo la bstod pa zhes bya ba,I1PD95892,413-416,I1PD958920482.jpg,I1PD958920485.jpg
AT2762,Q4916,dpal lha mo nag mo la bstod pa zhes bya ba,I1PD95892,417-418,I1PD958920486.jpg,I1PD958920487.jpg
AT2763,Q4916,dpal lha mo nag mo la bstod pa zhes bya ba,I1PD95892,419-420,I1PD958920488.jpg,I1PD958920489.jpg
AT2764,Q4916,dpal lha mo la bstod pa zhes bya ba,I1PD95892,421-422,I1PD958920490.jpg,I1PD958920491.jpg
AT2765,Q4916,dpal lha mo la bstod pa zhes bya ba,I1PD95892,423-425,I1PD958920492.jpg,I1PD958920494.jpg
AT2766,Q4918,dpal ldan lha mo nag mo la bstod pa zhes bya ba,I1PD95892,426-428,I1PD958920495.jpg,I1PD958920497.jpg
AT2767,Q4919,las mkhan gyi bstod pa bzhugs,I1PD95892,429-433,I1PD958920498.jpg,I1PD958920502.jpg
AT2768,Q4920,gnod sbyin nag po'i bstod pa,I1PD95892,434-436,I1PD958920503.jpg,I1PD958920505.jpg
AT2769,Q4921,dpal ldan lha mo dud sol ma'i rjes gnang,I1PD95892,437-440,I1PD958920506.jpg,I1PD958920509.jpg
AT2770,Q4922,dpal mgon zhal bzhi pa'i bstod chen,I1PD95892,441-444,I1PD958920510.jpg,I1PD958920513.jpg
AT2771,Q4923,byin gyis brlabs pa nag po chen po'i sgrub thabs zhes bya ba,I1PD95892,445-449,I1PD958920514.jpg,I1PD958920518.jpg
AT2772,Q4924,byin gyis brlabs pa'i nag po chen po'i gsang ba'i sgrub thabs zhes bya ba,I1PD95892,450-452,I1PD958920519.jpg,I1PD958920521.jpg
AT2773,Q4925,mi bskyod pa la brten nas mgon po'i gegs sel bla ma'i gnad sgyur,I1PD95892,453-455,I1PD958920522.jpg,I1PD958920524.jpg
AT2774,Q4926,mgon po'i bkra shis yon tan rgya mtsho zhes bya ba,I1PD95892,456-457,I1PD958920525.jpg,I1PD958920526.jpg
AT2775,Q4927,mgon po dmar po'i tshe sgrub,I1PD95892,458-461,I1PD958920527.jpg,I1PD958920530.jpg
AT2776,Q4928,lha mo'i srog sgrub,I1PD95892,462-464,I1PD958920531.jpg,I1PD958920533.jpg
AT2777,Q4929,dpal ldan lha mo chen po'i gsang ba'i sgrub thabs zhes bya ba,I1PD95892,465-469,I1PD958920534.jpg,I1PD958920538.jpg
AT2778,Q4930,rdo rje mkha' spyod ma sgrub pa'i thabs,I1PD95892,470-472,I1PD958920539.jpg,I1PD958920541.jpg
AT2779,Q4931,nag po chen po phur par sgrub pa zhes bya ba,I1PD95892,473-476,I1PD958920542.jpg,I1PD958920545.jpg
AT2781,Q4933,mgon po'i rgyu dus brtag pa,I1PD95892,480-483,I1PD958920549.jpg,I1PD958920552.jpg
AT2782,Q4934,byin gyis brlabs pa'i nag po'i sgrub thabs,I1PD95892,484-493,I1PD958920553.jpg,I1PD958920562.jpg
AT2784,Q4936,dpal nag po chen po byin brlabs can gyi sgrub pa'i thabs zhes bya ba,I1PD95892,501-521,I1PD958920572.jpg,I1PD958920592.jpg
AT2785,Q4937,gsang ba'i sgrub thabs zhes bya ba,I1PD95892,522-524,I1PD958920593.jpg,I1PD958920595.jpg
AT2786,Q4938,nag po chen po'i bstod pa rngam pa sgra sgrogs zhes bya ba,I1PD95892,525-527,I1PD958920596.jpg,I1PD958920598.jpg
AT2787,Q4939,mgon po'i gzhung bstod,I1PD95892,528-530,I1PD958920599.jpg,I1PD958920601.jpg
AT2788,,nag po chen po'i bstod pa,I1PD95892,531-532,I1PD958920602.jpg,I1PD958920603.jpg
AT2789,,nag po chen po'i bstod pa,I1PD95892,533-535,I1PD958920604.jpg,I1PD958920606.jpg
AT2790,Q4942,nag po chen po phyag bzhi pa'i sgrub thabs,I1PD95892,536-539,I1PD958920607.jpg,I1PD958920610.jpg
AT2791,Q4943,ye shes mgon po gri gug can gyi bdag bskyed bzlas pa bstod pa rnams,I1PD95892,540-543,I1PD958920611.jpg,I1PD958920614.jpg
AT2792,Q4944,dpal nag po chen po'i bstod pa 'phreng 'dzin chos kyi nyin byed,I1PD95892,544-549,I1PD958920615.jpg,I1PD958920620.jpg
AT2793,Q4945,srog bdud nag po'i dbang bsdus pa rin po che rgyas pa,I1PD95892,550-555,I1PD958920621.jpg,I1PD958920626.jpg
AT2794,Q4946,nag po chen po'i las tshogs,I1PD95892,556-569,I1PD958920627.jpg,I1PD958920640.jpg
AT2795,Q4955,tsan+Di ka'i tshig sgrub ces bya ba,I1PD95892,570-572,I1PD958920641.jpg,I1PD958920643.jpg
AT2796,Q4956,dbang bskur gyi cho ga rin chen phreng 'dra,I1PD95892,573-577,I1PD958920644.jpg,I1PD958920648.jpg
AT2798,Q4958,dpal nag po chen po'i gsang ba'i man ngag ces bya ba,I1PD95892,594-600,I1PD958920665.jpg,I1PD958920671.jpg
AT2799,Q4959,dam tshig 'dus pa'i dbang,I1PD95892,601-603,I1PD958920672.jpg,I1PD958920674.jpg
AT2800,Q4960,dpal mgon po bya rog ma'i bskangs kyi cho ga'i rim pa,I1PD95892,604-613,I1PD958920675.jpg,I1PD958920684.jpg
AT2801,Q4961,dpal nag po chen po'i dngos grub dang bsrung ba dang bzlog pa'i sgrub thabs zhes bya ba,I1PD95892,614-618,I1PD958920685.jpg,I1PD958920689.jpg
AT2802,Q4962,mgon po bya rog gdong gi gtor mdos,I1PD95892,619-640,I1PD958920690.jpg,I1PD958920711.jpg
AT2803,Q4963,gnod sbyin nag po chen po'i sgrub thabs zhes bya ba,I1PD95892,641-648,I1PD958920712.jpg,I1PD958920719.jpg
AT2806,Q4966,rang gnas pa nag po chen po'i sgrub thabs,I1PD95892,657-667,I1PD958920728.jpg,I1PD958920738.jpg
AT2807,Q4967,rje btsun dpal nag po chen po'i sgrub thabs man ngag mdor bsdus pa,I1PD95892,668-683,I1PD958920739.jpg,I1PD958920754.jpg
AT2809,Q4969,'jigs byed nag po chen po'i sgrub thabs,I1PD95892,688-692,I1PD958920759.jpg,I1PD958920763.jpg
AT2810,Q4970,rnam thos sras rjes su 'brang ba'i gtor ma'i cho ga zhes bya ba,I1PD95892,693-708,I1PD958920764.jpg,I1PD958920779.jpg
AT2811,Q4971,glang po rin po che la nor blang ba'i man ngag,I1PD95892,709-714,I1PD958920780.jpg,I1PD958920785.jpg
AT2812,Q4972,tshogs kyi bdag po'i sgrub thabs 'khor lo chen po zhes bya ba,I1PD95892,715-722,I1PD958920786.jpg,I1PD958920793.jpg
AT2813,Q4973,bgegs kyi rgyal po'i sgrub thabs zhes bya ba,I1PD95892,723-725,I1PD958920794.jpg,I1PD958920796.jpg
AT2814,Q4974,sna tshogs nor bu bde mchog 'khor lo'i sgrub thabs zhes bya ba,I1PD95892,726-728,I1PD958920797.jpg,I1PD958920799.jpg
AT2815,Q4975,dpal rdo rje mkha' 'gro'i bsgrub thabs zhes bya ba,I1PD95892,729-731,I1PD958920800.jpg,I1PD958920802.jpg
AT2816,Q4976,bgegs kyi rgyal po bsgrub pa'i thabs zhes bya ba,I1PD95892,732-735,I1PD958920803.jpg,I1PD958920806.jpg
AT2817,Q4989,'phags pa tshogs kyi bdag po la bstod pa,I1PD95892,736-737,I1PD958920807.jpg,I1PD958920808.jpg
AT2818,Q4978,bgegs bdag chen po'i sku bri ba'i man ngag yid bzhin nor bu zhes bya ba,I1PD95892,738-740,I1PD958920809.jpg,I1PD958920811.jpg
AT2819,Q4979,'phags pa tshogs kyi bdag po'i gtor ma'i cho ga,I1PD95892,741-743,I1PD958920812.jpg,I1PD958920814.jpg
AT2820,Q4980,bgegs bdag gi sbyin sreg gi cho ga rab tu bshad pa,I1PD95892,744-749,I1PD958920815.jpg,I1PD958920820.jpg
AT2821,Q4981,shin tu myur ba'i lha chen po bgegs kyi rgyal po'i sgrub thabs zhes bya ba,I1PD95892,750-752,I1PD958920821.jpg,I1PD958920823.jpg
AT2822,Q4982,shin tu myur ba'i lha bgegs chen po/ bgegs kyi rgyal po bsgrub pa'i thabs zhes bya ba,I1PD95892,753-755,I1PD958920824.jpg,I1PD958920826.jpg
AT2823,Q4983,dpal tshogs kyi bdag po'i 'khor lo'i gsal byed,I1PD95892,756-760,I1PD958920827.jpg,I1PD958920831.jpg
AT2824,Q4984,sngags kyi rgyal po'i dam tshig dngos grub sgrub pa'i thabs zhes bya ba,I1PD95892,761-764,I1PD958920832.jpg,I1PD958920835.jpg
AT2825,Q4985,gsal byed nyi ma'i 'khor los dbang du bya ba zhes bya ba,I1PD95892,765-767,I1PD958920836.jpg,I1PD958920838.jpg
AT2826,Q4986,dpal tshogs kyi bdag po zhi ba'i sgrub thabs,I1PD95892,768-771,I1PD958920839.jpg,I1PD958920842.jpg
AT2827,Q4987,'phags pa tshogs kyi bdag po yid bzhin nor bu'i sgrub thabs,I1PD95892,772-774,I1PD958920843.jpg,I1PD958920845.jpg
AT2828,Q4988,'phags pa tshogs kyi bdag po'i sbyin sreg gi cho ga,I1PD95892,775-777,I1PD958920846.jpg,I1PD958920848.jpg
AT2829,Q4989,'phags pa tshogs kyi bdag po la bstod pa,I1PD95892,778-779,I1PD958920849.jpg,I1PD958920850.jpg
AT2830,Q4990,tshogs bdag gsang sgrub,I1PD95892,780-783,I1PD958920851.jpg,I1PD958920854.jpg
AT2831,Q4991,tshogs kyi bdag po la bstod pa,I1PD95892,784-787,I1PD958920855.jpg,I1PD958920858.jpg
AT2832,Q4992,tshogs kyi bdag po chen po khams gsum dbang sdud dmar po'i sgrub pa'i thabs,I1PD95892,788-790,I1PD958920859.jpg,I1PD958920861.jpg
AT2833,Q4993,'dod pa'i dbang phyug gi bstod pa,I1PD95892,791-792,I1PD958920862.jpg,I1PD958920863.jpg
AT2834,Q4994,tshogs kyi bdag po khro bo'i sgrub thabs,I1PD95892,793-796,I1PD958920864.jpg,I1PD958920867.jpg
AT2835,Q4995,tshogs kyi bdag po dam tshig gsang ba'i bsgrub thabs zhes bya ba,I1PD95892,797-803,I1PD958920868.jpg,I1PD958920874.jpg
AT2837,Q4997,A pa ra tsa ta rin chen bzang po'i sgrub thabs zhes bya ba,I1PD95892,812-822,I1PD958920883.jpg,I1PD958920893.jpg
AT2838,Q4998,nor lha gsang ba'i bsgrub thabs,I1PD95892,823-825,I1PD958920894.jpg,I1PD958920896.jpg
AT2839,Q4999,'phags pa 'dzam b+ha lha la bstod pa zhes bya ba,I1PD95892,826-828,I1PD958920897.jpg,I1PD958920899.jpg
AT2840,Q5000,nor bdag gtso 'khor lnga'i bstod pa dbyig gi char 'bebs zhes bya ba,I1PD95892,829-831,I1PD958920900.jpg,I1PD958920902.jpg
AT2841,Q5001,gnod sbyin mo nag mos bsad pa'i sgrub thabs,I1PD95892,832-834,I1PD958920903.jpg,I1PD958920905.jpg
AT2842,Q5002,khro bo'i rgyal po khams gsum rnam par rgyal ba'i sgrub thabs zhes bya ba,I1PD95892,835-838,I1PD958920906.jpg,I1PD958920909.jpg
AT2843,Q5003,khro bo chen po bdud rtsi 'khyil pa'i sgrub thabs,I1PD95892,839-842,I1PD958920910.jpg,I1PD958920913.jpg
AT2844,Q5004,bcom ldan 'das dpal rdo rje gnod mdzes khro bo'i rgyal po chen po sdang ba thams cad rnam par 'joms pa'i bsgrub thabs,I1PD95892,843-849,I1PD958920914.jpg,I1PD958920920.jpg
AT2845,Q5005,khro bo reg tshig gi bsgrub pa'i thabs zhes bya ba,I1PD95892,850-859,I1PD958920921.jpg,I1PD958920930.jpg
AT2846,Q5006,reg 'bigs ma'i bsgrub thabs,I1PD95892,860-862,I1PD958920931.jpg,I1PD958920933.jpg
AT2847,Q5007,skal 'jog dbang gi cho ga,I1PD95892,863-867,I1PD958920934.jpg,I1PD958920938.jpg
AT2848,Q5008,khro bo reg tshig gi dam tshig gsang ba'i bsgrub thabs,I1PD95892,868-871,I1PD958920939.jpg,I1PD958920942.jpg
AT2849,Q5009,khro bo reg tshig gi sbyin sreg gi cho ga zhes bya ba,I1PD95892,872-875,I1PD958920943.jpg,I1PD958920946.jpg
AT2850,,khro bo reg tshig gi gtor chog,I1PD95892,876-878,I1PD958920947.jpg,I1PD958920949.jpg
AT2851,Q5011,lha chen po gsum gyi bsgrub thabs,I1PD95892,879-881,I1PD958920950.jpg,I1PD958920952.jpg
AT2852,Q5014,bla ma phyi ltar sgrub pa'i man ngag,I1PD95892,885-887,I1PD958920956.jpg,I1PD958920958.jpg
AT2853,Q5015,phyi sgrub kyi rten 'brel pan chen b+hi bu ti tsan+tras mdzad pa,I1PD95892,888-890,I1PD958920959.jpg,I1PD958920961.jpg
AT2854,Q5016,bla ma nang gi sgrub pa,I1PD95892,891-895,I1PD958920962.jpg,I1PD958920966.jpg
AT2855,Q5017,bla ma gsang bar sgrub pa zhes bya ba,I1PD95892,896-901,I1PD958920967.jpg,I1PD958920972.jpg
AT2856,Q5019,rgyud sde lnga'i sgrub thabs de kho na nyid bsdus pa,I1PD95892,902-905,I1PD958920973.jpg,I1PD958920976.jpg
AT2857,Q5020,dpal rgyud sde lnga'i dkyil 'khor gyi cho ga de kho na nyid bsdus pa gsang ba zhes bya ba,I1PD95892,906-962,I1PD958920977.jpg,I1PD958921033.jpg
AT2858,Q5021,rkang grangs rin chen phreng ba zhes bya ba,I1PD95892,963-968,I1PD958921034.jpg,I1PD958921039.jpg
AT2859,Q5022,mngon par rtogs pa mu tig gi phreng ba zhes bya ba,I1PD95892,969-1079,I1PD958921040.jpg,I1PD958921150.jpg
AT2860,Q5023,dkyil 'khor thams cad kyi bsgrub pa'i thabs rdzogs pa'i rnal 'byor gyi phreng ba zhes bya ba,I1PD95892,1080-1228,I1PD958921151.jpg,I1PD958921299.jpg
AT2861,Q5024,man ngag gi snye ma zhes bya ba,I1PD95892,1229-1271,I1PD958921300.jpg,I1PD958921342.jpg
AT2862,Q5025,rten 'brel snying po'i sngags them zhib mor bkod pa,I1PD95892,1272-1273,I1PD958921343.jpg,I1PD958921344.jpg
AT2863,Q5026,'chi med grub pa'i 'grel pa g.yung drung grub pa zhes bya ba,I1PD95892,1274-1281,I1PD958921345.jpg,I1PD958921352.jpg
AT2864,Q5027,dkyil 'khor gyi rnam par dbye ba'i rab tu byed pa zhes bya ba,I1PD95892,1282-1287,I1PD958921353.jpg,I1PD958921358.jpg
AT2865,Q5028,sems rin po che sbyong bar byed pa zhes bya ba,I1PD95892,1288-1301,I1PD958921359.jpg,I1PD958921372.jpg
AT2866,Q5029,rgyal ba skyed ma'i rnam par dbye ba nges par bstan pa,I1PD95892,1302-1371,I1PD958921373.jpg,I1PD958921442.jpg
AT2867,Q5030,mkha' 'gro ma'i dkyil 'khor gyi sgrub thabs kyi rim pa zhes bya ba,I1PD95892,1372-1384,I1PD958921443.jpg,I1PD958921455.jpg
AT2868,Q5031,'khor ba rtsad nas gcod pa gtan tshigs 'khor lo'i man ngag,I1PD95893,3-6,I1PD958930060.jpg,I1PD958930063.jpg
AT2869,Q5032,'khor ba rtsad nas gcod pa bdud rtsi dri med kyi man ngag,I1PD95893,7-10,I1PD958930064.jpg,I1PD958930067.jpg
AT2870,Q5033,'khor ba rtsad nas gcod pa rdo rje sems dpa'i gdam ngag,I1PD95893,11-14,I1PD958930068.jpg,I1PD958930071.jpg
AT2871,Q5034,'khor ba rtsad nas gcod pa gser gyi thigs pa'i gdam ngag,I1PD95893,15-18,I1PD958930072.jpg,I1PD958930075.jpg
AT2872,Q5035,'khor ba rtsad nas gcod pa snyan rgyud yi ge med pa'i gdam ngag,I1PD95893,19-20,I1PD958930076.jpg,I1PD958930077.jpg
AT2873,Q5036,lta ba nam mkha' dang mnyam pa'i rgyud kyi dka' 'grel rin po che sgron ma 'bar ba zhes bya ba,I1PD95893,21-29,I1PD958930078.jpg,I1PD958930086.jpg
AT2874,Q5037,bsgom pa rgya mtsho dang mnyam pa'i rgyud kyi dka' 'grel rin po che dra ba'i sgron ma,I1PD95893,30-35,I1PD958930087.jpg,I1PD958930092.jpg
AT2875,Q5038,spyod pa nyi zla dang mnyam pa'i rgyud kyi dka' 'grel rin po che snang ba'i 'od zer,I1PD95893,36-44,I1PD958930093.jpg,I1PD958930101.jpg
AT2876,Q5039,'bras bu rin po che dang mnyam pa'i rgyud kyi dka' 'grel rin po che za ma tog 'bar ba,I1PD95893,45-52,I1PD958930102.jpg,I1PD958930109.jpg
AT2877,Q5040,lta ba ye shes mdzod chen chos kyi dbyings,I1PD95893,53-57,I1PD958930110.jpg,I1PD958930114.jpg
AT2878,Q5041,bsgom pa ye shes gsal ba chos kyi dbyings,I1PD95893,58-61,I1PD958930115.jpg,I1PD958930118.jpg
AT2879,Q5042,spyod pa ye shes 'bar ba chos kyi dbyings,I1PD95893,62-64,I1PD958930119.jpg,I1PD958930121.jpg
AT2882,Q5046,dam tshig lnga bcu pa,I1PD95893,73-79,I1PD958930130.jpg,I1PD958930136.jpg
AT2883,Q5047,'bras bu ye shes sa gcig chos kyi dbyings,I1PD95893,80-84,I1PD958930137.jpg,I1PD958930141.jpg
AT2884,Q5048,dpal sa ra ha dang mnga' bdag mai tri pa'i zhu ba zhus lan,I1PD95893,85-88,I1PD958930142.jpg,I1PD958930145.jpg
AT2885,Q5049,dpal nag po rdo rje zhabs kyi mi zad pa'i mdzod kyi rgya cher 'grel pa,I1PD95893,89-123,I1PD958930146.jpg,I1PD958930180.jpg
AT2887,Q5051,'chi med bsgrub pa zhes bya ba,I1PD95893,126-131,I1PD958930183.jpg,I1PD958930188.jpg
